         Cal_age(BP)           Mean SL(m)       95%CI_lower(m)       95%CI_upper(m) 
                2850               4.5304              3.13276              5.95648 
                2825              4.51329              3.06548              6.01147 
                2800              4.49328              3.02264              6.08455 
                2775              4.47679              2.94859              6.10208 
                2750               4.4541              2.89266               6.1064 
                2725              4.43393              2.86715              6.14434 
                2700              4.41202               2.7426              6.17907 
                2675              4.38185               2.6827              6.15429 
                2650              4.34464               2.6558              6.19522 
                2625              4.28271               2.5631               6.0647 
                2600              4.20886              2.51874              5.97236 
                2575              4.12115               2.4661              5.93327 
                2550              4.02856              2.41907                5.756 
                2525              3.92283              2.34728              5.64389 
                2500               3.7998              2.28812              5.47572 
                2475              3.66541              2.21687              5.24247 
                2450              3.52002              2.11258              5.00699 
                2425              3.37659              2.04906              4.82962 
                2400              3.23455              1.97729              4.60776 
                2375              3.09464              1.90535              4.40409 
                2350              2.94825               1.8301              4.17646 
                2325              2.81061              1.72897              3.95556 
                2300              2.66811              1.64071              3.77164 
                2275              2.52621              1.58693              3.61865 
                2250               2.3809              1.49755               3.3586 
                2225              2.24337               1.4122              3.17488 
                2200              2.10185              1.29217              3.00078 
                2175              1.96475              1.12429               2.8049 
                2150              1.83266                1.031              2.70907 
                2125              1.71693             0.899859              2.60204 
                2100              1.61491             0.780055              2.50761 
                2075              1.52786             0.731551              2.35216 
                2050              1.46472             0.685175              2.24359 
                2025              1.43088              0.64796              2.17585 
                2000              1.42725             0.635733              2.15018 
                1975              1.44811             0.663011              2.13835 
                1950              1.48871              0.74381              2.14249 
                1925              1.53467             0.904341              2.15906 
                1900              1.58168             0.977111              2.15446 
                1875              1.63915              1.02272              2.20888 
                1850              1.68512              1.08114              2.25051 
                1825              1.74296              1.12458              2.35107 
                1800               1.8159              1.21139                2.411 
                1775              1.90092              1.33396              2.50428 
                1750              1.99181              1.39101              2.61992 
                1725              2.08592              1.41031              2.75334 
                1700              2.13601               1.4635              2.86929 
                1675              2.05879              1.44113              2.73967 
                1650              1.95894              1.42827              2.51694 
                1625               1.8721              1.40083              2.37323 
                1600              1.78861              1.37374              2.23998 
                1575              1.71119              1.37907              2.10287 
                1550              1.63807              1.34793              1.97259 
                1525               1.5769              1.31608              1.87608 
                1500              1.52268              1.27903              1.79215 
                1475              1.47565              1.23406              1.74951 
                1450              1.43278              1.19833              1.69574 
                1425              1.39516              1.19074              1.62087 
                1400              1.35962              1.14105              1.58676 
                1375              1.32236              1.09426              1.54406 
                1350              1.28975              1.07531              1.50767 
                1325              1.25664              1.03834              1.47176 
                1300              1.21702             0.993106              1.43934 
                1275              1.18268             0.961524              1.42078 
                1250              1.14647             0.915992               1.3562 
                1225              1.11044             0.877994              1.31606 
                1200              1.07549             0.867886              1.28743 
                1175              1.03831             0.802033              1.24851 
                1150              1.00706             0.783267              1.22635 
                1125             0.968471             0.739327              1.18763 
                1100             0.939275             0.704548              1.18013 
                1075             0.901491             0.655229              1.13761 
                1050             0.863276             0.610629              1.12551 
                1025             0.830527             0.570112              1.07577 
                1000              0.79376             0.518777              1.02679 
                 975             0.758446             0.476455              1.01431 
                 950             0.723268             0.451098             0.980534 
                 925             0.685042             0.401214             0.953214 
                 900             0.653468             0.346576             0.920994 
                 875             0.616275             0.301686             0.877439 
                 850             0.578973             0.285126             0.881357 
                 825             0.543065             0.206614             0.829993 
                 800             0.510203             0.185964             0.805085 
                 775             0.476115              0.13358             0.772505 
                 750             0.440304             0.102266             0.764552 
                 725              0.40623              0.06484             0.709259 
                 700             0.368912            0.0114262             0.703286 
                 675             0.334632           -0.0435083             0.675708 
                 650             0.300446           -0.0890973             0.648556 
                 625             0.266502            -0.124878             0.635128 
                 600             0.240991            -0.152702             0.603935 
                 575             0.228015            -0.143658             0.577666 
                 550             0.217907            -0.136483             0.557528 
                 525             0.207492            -0.131063             0.518188 
                 500             0.198333            -0.127343             0.500884 
                 475             0.188086            -0.117004             0.474005 
                 450             0.177821            -0.114727             0.444958 
                 425             0.168047            -0.114032             0.419541 
                 400             0.158044           -0.0973924             0.393242 
                 375             0.148799           -0.0982443             0.377837 
                 350             0.138227            -0.091523             0.347617 
                 325             0.128177           -0.0809471             0.326746 
                 300             0.118257           -0.0836205             0.300727 
                 275             0.108718           -0.0662759             0.276901 
                 250            0.0991483           -0.0610895             0.252738 
                 225            0.0894298            -0.053419             0.227037 
                 200            0.0789592           -0.0513443             0.201483 
                 175            0.0690918             -0.04512             0.174425 
                 150             0.059684            -0.040919             0.148612 
                 125            0.0494402           -0.0338641             0.124011 
                 100            0.0397929           -0.0266357            0.0995583 
                  75            0.0301187           -0.0196961            0.0784332 
                  50            0.0197251           -0.0140046            0.0514521 
                  25           0.00970625          -0.00955322            0.0269863 
                   0                    0                    0                    0 
