         Cal_age(BP)     Mean rate(mm/yr)   95%CI_lower(mm/yr)   95%CI_upper(mm/yr) 
                4900             0.705915              -2.5374              3.79577 
                4875             0.501951             -3.15486               3.6828 
                4850             0.675577             -2.79094              4.03043 
                4825             0.935151             -2.90143               4.3799 
                4800             0.771496             -2.80618              4.41069 
                4775             0.652488             -2.90547              4.11533 
                4750             0.884077             -2.63233              4.38285 
                4725             0.832098              -2.7954              4.17376 
                4700             0.637744             -3.06444              4.69566 
                4675             0.667719             -2.96244               4.2518 
                4650             0.758106             -2.89478              4.48579 
                4625             0.802848             -2.63542              4.06471 
                4600              0.82592             -2.90913              4.38841 
                4575             0.770196             -3.04987               4.0845 
                4550             0.630772             -3.11787              4.15293 
                4525             0.750045             -2.92165              4.47738 
                4500             0.637787             -2.92969              4.11991 
                4475             0.719934             -2.45953              4.23121 
                4450             0.860673             -2.35317              4.03252 
                4425             0.720196             -2.55426              3.88194 
                4400             0.780628             -2.14554              4.12354 
                4375             0.714282             -2.39313              3.78394 
                4350             0.781456             -2.20245              3.65555 
                4325             0.804941             -2.43888              3.68352 
                4300             0.816381             -2.09176              3.73123 
                4275             0.831066             -1.90316              3.39518 
                4250             0.758475             -2.25536              3.33276 
                4225              1.05092             -1.88414              3.97849 
                4200              1.31923              -3.0416              5.16586 
                4175              1.48236             -3.41768              6.39301 
                4150              1.74497              -4.4176               7.6125 
                4125              1.15771             -2.73556              5.08795 
                4100             0.673293             -2.51307              4.05927 
                4075             0.560743             -2.35858              3.56486 
                4050             0.466454             -2.37086              3.35188 
                4025             0.464174             -2.21764              3.06886 
                4000             0.376261             -2.20389              3.23097 
                3975             0.414439             -2.47963              2.85894 
                3950             0.345072             -2.63875              3.03888 
                3925             0.402253              -2.4799              3.58978 
                3900             0.456221              -2.3081              3.33405 
                3875             0.430897             -2.45675              3.42527 
                3850             0.356813             -2.90466               3.3026 
                3825             0.379294             -2.82454              3.37011 
                3800              0.42317              -2.5032              3.03672 
                3775             0.201444             -2.73553              2.95008 
                3750             0.257142             -2.40956              2.68221 
